,name,link
0,Dabaru 2024 Bengali CAMRip 1080p,https://vegamovies.vg/35301-dabaru-2024-hindi-camrip-1080p.html
1,Kingdom of the Planet of the Apes 2024 Hindi CAMRip V2 1080p,https://vegamovies.vg/35295-kingdom-of-the-planet-of-the-apes-2024-hindi-camrip-v2-1080p.html
2,Monster 2023 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35292-monster-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
3,Kingdom of the Planet of the Apes 2024 Telugu CAMRip 1080p,https://vegamovies.vg/35280-kingdom-of-the-planet-of-the-apes-2024-telugu-camrip-1080p.html
4,Kingdom of the Planet of the Apes 2024 Tamil CAMRip 1080p,https://vegamovies.vg/35277-kingdom-of-the-planet-of-the-apes-2024-tamil-camrip-1080p.html
5,Kingdom of the Planet of the Apes 2024 Hindi CAMRip 1080p,https://vegamovies.vg/35274-kingdom-of-the-planet-of-the-apes-2024-hindi-camrip-1080p.html
6,The Marsh King’s Daughter 2023 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35268-the-marsh-kings-daughter-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
7,Yaathisai 2023 Hindi WEBRip 1080p,https://vegamovies.vg/35265-yaathisai-2023-hindi-webrip-1080p.html
8,Mother of the Bride (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35286-mother-of-the-bride-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
9,Mistresses (2019) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35283-mistresses-2019-hindi-dual-audio-hdrip-1080p-720p-480p.html
10,Oye Bhole Oye 2024 Punjabi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35271-oye-bhole-oye-2024-punjabi-hdrip-720p-480p-1080p.html
11,8 A.M. Metro 2023 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35298-8-a-m-metro-2023-hindi-hdrip-720p-480p-1080p.html
12,Crazy Rich Asians (2018) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35262-crazy-rich-asians-2018-hindi-dual-audio-hdrip-1080p-720p-480p.html
13,Acide (2023) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35259-acide-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
14,Manjummel Boys 2024 [Hindi (ORG) + Malayalam] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35247-manjummel-boys-2024-hindi-studio-dub-malayalam-hdts-720p-480p.html
15,Aranmanai 4 2024 Telugu CAMRip 1080p,https://vegamovies.vg/35289-baak-2024-telugu-camrip-1080p.html
16,Kurangu Pedal 2024 Tamil CAMRip 1080p,https://vegamovies.vg/35244-kurangu-pedal-2024-tamil-camrip-1080p.html
17,Aranmanai 4 2024 Tamil CAMRip 1080p,https://vegamovies.vg/35241-aranmanai-4-2024-tamil-camrip-1080p.html
18,Aa Okkati Adakku 2024 Telugu CAMRip 1080p,https://vegamovies.vg/35238-aa-okkati-adakku-2024-telugu-camrip-1080p.html
19,The Fall Guy 2024 Hindi CAMRip 1080p,https://vegamovies.vg/35232-the-fall-guy-2024-hindi-camrip-1080p.html
